-- ================================================
-- 🔥 AIMBOT PRO v12 - FATALITY EDITION (FINAL)
-- ✅ All Features + New Crosshair System
-- ✅ Hexagon, Star, Square, Dot, Heart Crosshairs
-- ✅ Crosshair Size, Thickness, Opacity Controls
-- ✅ GUI Size Adjustment + Toggle Lock
-- ================================================

-- ========== SERVICES ==========
local Players = game:GetService("Players")
local RunService = game:GetService("RunService")
local UserInputService = game:GetService("UserInputService")
local TweenService = game:GetService("TweenService")
local Lighting = game:GetService("Lighting")
local HttpService = game:GetService("HttpService")
local CoreGui = game:GetService("CoreGui")
local Stats = game:GetService("Stats")

local LocalPlayer = Players.LocalPlayer
local Camera = workspace.CurrentCamera
local Mouse = LocalPlayer:GetMouse()

local function SafeSet(prop, value)
    esp.SnapLine = NewLine()
    esp.DormantMarker = NewLine()

    ESPData[player] = esp
end

local function RemoveESP(player)
    local esp = ESPData[player]
    if not esp then return end
    for _, group in pairs({esp.BoxLines, esp.CornerLines, esp.Box3DLines, esp.SkeletonLines}) do
        for _, l in ipairs(group) do
            if l then pcall(function() l:Remove() end) end
        end
    end
    for _, k in ipairs({"NameText", "DistText", "WeaponText", "HpBG", "HpFill", "Tracer", "SnapLine", "DormantMarker"}) do
        if esp[k] then pcall(function() esp[k]:Remove() end) end
    end
    ESPData[player] = nil
end

local function HideESP(esp)
    if not esp then return end
    for _, group in pairs({esp.BoxLines, esp.CornerLines, esp.Box3DLines, esp.SkeletonLines}) do
        for _, l in ipairs(group) do
            if l then l.Visible = false end
        end
    end
    for _, k in ipairs({"NameText", "DistText", "WeaponText", "HpBG", "HpFill", "Tracer", "SnapLine", "DormantMarker"}) do
        if esp[k] then esp[k].Visible = false end
    end
end

-- ========== CHAMS ==========
local ChamsObjects = {}
local GlowObjects = {}

local function ApplyChams(player)
    if not player.Character then return end
    if ChamsObjects[player] then pcall(function() ChamsObjects[player]:Destroy() end) end
    local s, h = pcall(function()
        local hl = Instance.new("Highlight")
        hl.FillColor = C3(Settings.ChamsColor)
        hl.OutlineColor = C3(Settings.ChamsOutlineColor)
        hl.FillTransparency = 0.45
        hl.OutlineTransparency = 0
        if Settings.ChamsMode == "Visible" then
            hl.DepthMode = Enum.HighlightDepthMode.Occluded
        elseif Settings.ChamsMode == "Invisible" then
            hl.DepthMode = Enum.HighlightDepthMode.Occluded
            hl.FillTransparency = 1
        elseif Settings.ChamsMode == "Wall" then
            hl.DepthMode = Enum.HighlightDepthMode.AlwaysOnTop
        end
        hl.Adornee = player.Character
        hl.Parent = player.Character
        return hl
    end)
    if s and h then ChamsObjects[player] = h end
end

local function RemoveChams(player)
    if ChamsObjects[player] then
        pcall(function() ChamsObjects[player]:Destroy() end)
        ChamsObjects[player] = nil
    end
end

local function ApplyGlow(player)
    if GlowObjects[player] then pcall(function() GlowObjects[player]:Destroy() end); GlowObjects[player] = nil end
    if not player.Character then return end
    local root = player.Character:FindFirstChild("HumanoidRootPart")
    if not root then return end
    local s, g = pcall(function()
        local light = Instance.new("PointLight")
        light.Color = C3(Settings.GlowColor)
        light.Brightness = 3
        light.Range = 15
        light.Parent = root
        return light
    end)
    if s and g then GlowObjects[player] = g end
end

local function RemoveGlow(player)
    if GlowObjects[player] then
        pcall(function() GlowObjects[player]:Destroy() end)
        GlowObjects[player] = nil
    end
end

local function RefreshChams()
    for _, p in ipairs(Players:GetPlayers()) do
        if p ~= LocalPlayer then
            RemoveChams(p)
            RemoveGlow(p)
            if Settings.ChamsEnabled then ApplyChams(p) end
            if Settings.GlowEnabled then ApplyGlow(p) end
        end
    end
end

local function UpdateChamsColor()
    for _, h in pairs(ChamsObjects) do
        pcall(function()
            h.FillColor = C3(Settings.ChamsColor)
            h.OutlineColor = C3(Settings.ChamsOutlineColor)
        end)
    end
    for _, g in pairs(GlowObjects) do
        pcall(function() g.Color = C3(Settings.GlowColor) end)
    end
end

-- ========== WALL CHECK ==========
local function CanSee(part)
    if not Settings.WallCheck then return true end
    local origin = Camera.CFrame.Position
    local dir = (part.Position - origin).Unit * 1000
    local ray = Ray.new(origin, dir)
    local ignore = {workspace.Terrain, LocalPlayer.Character}
    local hit = workspace:FindPartOnRayWithIgnoreList(ray, ignore)
    if hit then
        local ch = part:FindFirstAncestorWhichIsA("Model")
        if ch and ch:IsAncestorOf(hit) then return true end
        return false
    end
    return true
end

-- ========== HITBOX ==========
local HitboxMap = {
    Head = "Head",
    Chest = "UpperTorso",
    Stomach = "LowerTorso",
    Pelvis = "HumanoidRootPart",
    Body = "HumanoidRootPart"
}

local function GetHitboxPart(character, hitboxName)
    local pn = HitboxMap[hitboxName] or "Head"
    return character:FindFirstChild(pn) or character:FindFirstChild("Torso") or character:FindFirstChild("UpperTorso") or character:FindFirstChild("HumanoidRootPart")
end

local function GetMultipoint(part)
    if not Settings.AimbotMultipoint or not part then return {part.Position} end
    local sz = part.Size
    local sc = Settings.AimbotMultipointScale / 100
    local cf = part.CFrame
    return {
        cf.Position,
        (cf * CFrame.new((sz.X / 2) * sc, 0, 0)).Position,
        (cf * CFrame.new(-(sz.X / 2) * sc, 0, 0)).Position,
        (cf * CFrame.new(0, (sz.Y / 2) * sc, 0)).Position,
        (cf * CFrame.new(0, -(sz.Y / 2) * sc, 0)).Position,
    }
end

local function GetClosestPlayer()
    local closest, closestDist, closestPos = nil, Settings.FOV, nil
    local center = Vector2.new(Camera.ViewportSize.X / 2, Camera.ViewportSize.Y / 2)
    local useHitbox = Settings.AimbotHitbox
    if Settings.BaimEnabled then
        local ch = LocalPlayer.Character
        local hu = ch and ch:FindFirstChildOfClass("Humanoid")
        local air = hu and (hu:GetState() == Enum.HumanoidStateType.Freefall or hu:GetState() == Enum.HumanoidStateType.Jumping)
        if Settings.BaimInAir and air then useHitbox = "Chest" end
        if Settings.BaimAfterMisses > 0 and MissCount >= Settings.BaimAfterMisses then useHitbox = "Chest" end
    end
    for _, player in ipairs(Players:GetPlayers()) do
        if player == LocalPlayer then continue end
        if Settings.TeamCheck and player.Team == LocalPlayer.Team then continue end
        local ch = player.Character
        if not ch then continue end
        local hu = ch:FindFirstChildOfClass("Humanoid")
        local pt = GetHitboxPart(ch, useHitbox)
        if hu and hu.Health > 0 and pt then
            for _, pos in ipairs(GetMultipoint(pt)) do
                local sp, os = Camera:WorldToViewportPoint(pos)
                if os then
                    local d = (Vector2.new(sp.X, sp.Y) - center).Magnitude
                    if d < closestDist and CanSee(pt) then
                        closestDist = d
                        closest = player
                        closestPos = pos
                    end
                end
            end
        end
    end
    return closest, closestPos
end

-- ========== WORLD ==========
local OriginalLighting = {
    Ambient = Lighting.Ambient,
    OutdoorAmbient = Lighting.OutdoorAmbient,
    Brightness = Lighting.Brightness,
    FogColor = Lighting.FogColor,
    FogStart = Lighting.FogStart,
    FogEnd = Lighting.FogEnd,
    ColorShift_Bottom = Lighting.ColorShift_Bottom,
    ColorShift_Top = Lighting.ColorShift_Top,
    ClockTime = Lighting.ClockTime,
    GlobalShadows = Lighting.GlobalShadows,
}
local OriginalFOV = Camera.FieldOfView

local function ApplyWorldSettings()
    if Settings.FullBright then
        SafeSet("Ambient", Color3.fromRGB(255, 255, 255))
        SafeSet("OutdoorAmbient", Color3.fromRGB(255, 255, 255))
        SafeSet("Brightness", 3)
        SafeSet("GlobalShadows", false)
    elseif Settings.NightMode then
        SafeSet("Ambient", Color3.fromRGB(0, 0, 40))
        SafeSet("OutdoorAmbient", Color3.fromRGB(0, 0, 40))
        SafeSet("Brightness", 0.3)
        SafeSet("ClockTime", 0)
    else
        SafeSet("Ambient", C3(Settings.WorldAmbient))
        SafeSet("OutdoorAmbient", C3(Settings.WorldAmbient))
        SafeSet("Brightness", Settings.WorldBrightness)
        SafeSet("ColorShift_Bottom", C3(Settings.WorldSkyColor))
        SafeSet("ColorShift_Top", C3(Settings.WorldSkyColor))
    end
    if Settings.WorldFog then
        SafeSet("FogColor", C3(Settings.WorldFogColor))
        SafeSet("FogStart", Settings.WorldFogStart)
        SafeSet("FogEnd", Settings.WorldFogEnd)
    else
        SafeSet("FogEnd", 100000)
        SafeSet("FogStart", 0)
    end
    Camera.FieldOfView = Settings.CameraFOV
    pcall(function()
        if Settings.ThirdPerson then
            LocalPlayer.CameraMinZoomDistance = Settings.ThirdPersonZoom
            LocalPlayer.CameraMaxZoomDistance = Settings.ThirdPersonZoom
        else
            LocalPlayer.CameraMinZoomDistance = 0.5
            LocalPlayer.CameraMaxZoomDistance = 128
        end
    end)
end

local function ResetWorld()
    for k, v in pairs(OriginalLighting) do pcall(function() Lighting[k] = v end) end
    Camera.FieldOfView = OriginalFOV
    pcall(function()
        LocalPlayer.CameraMinZoomDistance = 0.5
        LocalPlayer.CameraMaxZoomDistance = 128
    end)
end

-- ========== ANTI-AIM ==========
local spinAngle = 0
local jitterFlip = 1

local function GetClosestEnemyDir()
    local ch = LocalPlayer.Character
    if not ch then return nil end
    local hrp = ch:FindFirstChild("HumanoidRootPart")
    if not hrp then return nil end
    local cp, cd = nil, math.huge
    for _, p in ipairs(Players:GetPlayers()) do
        if p == LocalPlayer then continue end
        local c = p.Character
        if c and c:FindFirstChild("HumanoidRootPart") then
            local d = (c.HumanoidRootPart.Position - hrp.Position).Magnitude
            if d < cd then cd = d; cp = c end
        end
    end
    if cp then return (cp.HumanoidRootPart.Position - hrp.Position).Unit end
    return nil
end

local function ApplyAntiAim(dt)
    if not Settings.AntiAimEnabled then return end
    local ch = LocalPlayer.Character
    if not ch then return end
    local hrp = ch:FindFirstChild("HumanoidRootPart")
    local hu = ch:FindFirstChildOfClass("Humanoid")
    if not hrp or not hu then return end
    local yaw, pitch, roll = 0, 0, math.rad(Settings.RollAngle)

    if Settings.ManualAA ~= "None" then
        if Settings.ManualAA == "Left" then yaw = math.rad(90)
        elseif Settings.ManualAA == "Right" then yaw = math.rad(-90)
        elseif Settings.ManualAA == "Back" then yaw = math.rad(180)
        elseif Settings.ManualAA == "Front" then yaw = 0 end
    elseif Settings.Freestanding then
        local d = GetClosestEnemyDir()
        if d then yaw = math.atan2(-d.X, -d.Z) + math.rad(90) end
    else
        if Settings.YawMode == "Spin" then
            spinAngle = (spinAngle + dt * Settings.SpinSpeed * 60) % 360
            yaw = math.rad(spinAngle)
        elseif Settings.YawMode == "Backwards" then yaw = math.rad(180)
        elseif Settings.YawMode == "Jitter" then
            jitterFlip = -jitterFlip
            yaw = math.rad(Settings.YawJitterRange * jitterFlip)
        elseif Settings.YawMode == "Random" then yaw = math.rad(math.random(-180, 180))
        elseif Settings.YawMode == "Custom" then yaw = math.rad(Settings.YawOffset)
        end
    end
    yaw = yaw + math.rad(Settings.YawOffset)
    if Settings.InverterActive then yaw = yaw + math.rad(180) end

    if Settings.PitchMode == "Down" then pitch = math.rad(-89)
    elseif Settings.PitchMode == "Up" then pitch = math.rad(89)
    elseif Settings.PitchMode == "Zero" then pitch = 0
    elseif Settings.PitchMode == "Fake Down" then pitch = math.rad(-45)
    end

    pcall(function()
        hu.AutoRotate = false
        hrp.CFrame = CFrame.new(hrp.Position) * CFrame.Angles(pitch, yaw, roll)
    end)
end

-- ========== MOVEMENT ==========
local wallJumpDebounce = false

UserInputService.InputBegan:Connect(function(input, gp)
    if gp then return end
    if input.KeyCode == Enum.KeyCode.Space and Settings.WallJump and not wallJumpDebounce then
        local ch = LocalPlayer.Character
        if not ch then return end
        local hrp = ch:FindFirstChild("HumanoidRootPart")
        local hum = ch:FindFirstChildOfClass("Humanoid")
        if not (hrp and hum) then return end
        if hum:GetState() == Enum.HumanoidStateType.Freefall then
            local ray = Ray.new(hrp.Position, hrp.CFrame.LookVector * 3)
            local hit = workspace:FindPartOnRayWithIgnoreList(ray, {ch})
            if hit then
                wallJumpDebounce = true
                hrp.Velocity = Vector3.new(hrp.Velocity.X, 60, hrp.Velocity.Z) - (hrp.CFrame.LookVector * 30)
                task.wait(0.3)
                wallJumpDebounce = false
            end
        end
    end
end)

UserInputService.JumpRequest:Connect(function()
    if Settings.InfinityJump then
        local ch = LocalPlayer.Character
        if ch then
            local hum = ch:FindFirstChildOfClass("Humanoid")
            if hum then hum:ChangeState(Enum.HumanoidStateType.Jumping) end
        end
    end
    if Settings.BunnyHop then
        local ch = LocalPlayer.Character
        if ch then
            local hu = ch:FindFirstChildOfClass("Humanoid")
            if hu then hu.Jump = true end
        end
    end
end)

LocalPlayer.CharacterAdded:Connect(function(ch)
    task.wait(0.5)
    local hu = ch:FindFirstChildOfClass("Humanoid")
    if hu then hu.AutoRotate = true end
    if Settings.ChamsEnabled then task.wait(0.5); ApplyChams(LocalPlayer) end
end)

for _, p in ipairs(Players:GetPlayers()) do
    if p ~= LocalPlayer then CreateESP(p) end
end
Players.PlayerAdded:Connect(function(p)
    if p == LocalPlayer then return end
    CreateESP(p)
    p.CharacterAdded:Connect(function()
        task.wait(1)
        if Settings.ChamsEnabled then ApplyChams(p) end
        if Settings.GlowEnabled then ApplyGlow(p) end
    end)
end)
Players.PlayerRemoving:Connect(function(p)
    RemoveESP(p)
    RemoveChams(p)
    RemoveGlow(p)
end)

-- ========== GUI CLEANUP ==========
for _, g in ipairs(CoreGui:GetChildren()) do
    if g.Name == "AimbotPROv12" or g.Name == "AimbotPROv12F" then g:Destroy() end
end

local ScreenGui = Instance.new("ScreenGui")
ScreenGui.Name = "AimbotPROv12F"
ScreenGui.ResetOnSpawn = false
ScreenGui.ZIndexBehavior = Enum.ZIndexBehavior.Sibling
ScreenGui.IgnoreGuiInset = true
ScreenGui.Parent = CoreGui

-- ========== WEATHER OVERLAY ==========
local WeatherOverlay = Instance.new("Frame")
WeatherOverlay.Size = UDim2.new(1, 0, 1, 0)
WeatherOverlay.BackgroundTransparency = 1
WeatherOverlay.ClipsDescendants = true
WeatherOverlay.ZIndex = 999
WeatherOverlay.Parent = ScreenGui

local WeatherParticles = {}
local function ClearWeather()
    for _, p in ipairs(WeatherParticles) do if p.frame then p.frame:Destroy() end end
    WeatherParticles = {}
end

local function InitWeather()
    ClearWeather()
    if Settings.WeatherType == "None" then return end
    local count = math.floor(Settings.WeatherIntensity * 1.5)
    for i = 1, count do
        local p = Instance.new("Frame")
        if Settings.WeatherType == "Snow" then
            local sz = math.random(3, 7)
            p.Size = UDim2.new(0, sz, 0, sz)
            p.BackgroundColor3 = Color3.fromRGB(255, 255, 255)
            p.BackgroundTransparency = math.random() * 0.3
            Instance.new("UICorner", p).CornerRadius = UDim.new(1, 0)
        elseif Settings.WeatherType == "Rain" then
            p.Size = UDim2.new(0, 2, 0, math.random(15, 25))
            p.BackgroundColor3 = Color3.fromRGB(150, 180, 255)
            p.BackgroundTransparency = 0.4
        elseif Settings.WeatherType == "Lightning" then
            local sz = math.random(2, 4)
            p.Size = UDim2.new(0, sz, 0, sz)
            p.BackgroundColor3 = Color3.fromRGB(200, 180, 255)
            p.BackgroundTransparency = math.random() * 0.5
            Instance.new("UICorner", p).CornerRadius = UDim.new(1, 0)
        end
        p.Position = UDim2.new(math.random(), 0, math.random() - 1, 0)
        p.BorderSizePixel = 0
        p.ZIndex = 999
        p.Parent = WeatherOverlay
        table.insert(WeatherParticles, {
            frame = p,
            vx = Settings.WeatherType == "Rain" and 0.05 or (math.random() - 0.5) * 0.1,
            vy = Settings.WeatherType == "Rain" and (0.5 + math.random() * 0.3) or (0.05 + math.random() * 0.08),
        })
    end
end

local LightningFlash = Instance.new("Frame")
LightningFlash.Size = UDim2.new(1, 0, 1, 0)
LightningFlash.BackgroundColor3 = Color3.fromRGB(255, 255, 255)
LightningFlash.BackgroundTransparency = 1
LightningFlash.BorderSizePixel = 0
LightningFlash.ZIndex = 998
LightningFlash.Parent = ScreenGui

task.spawn(function()
    while true do
        task.wait(math.random(5, 12))
        if Settings.WeatherType == "Lightning" then
            for i = 1, math.random(2, 4) do
                LightningFlash.BackgroundTransparency = 0.3
                task.wait(0.05)
                LightningFlash.BackgroundTransparency = 1
                task.wait(0.08)
            end
        end
    end
end)

-- ========== BG PARTICLES ==========
local ParticleOverlay = Instance.new("Frame")
ParticleOverlay.Size = UDim2.new(1, 0, 1, 0)
ParticleOverlay.BackgroundTransparency = 1
ParticleOverlay.ClipsDescendants = true
ParticleOverlay.Visible = false
ParticleOverlay.ZIndex = 1
ParticleOverlay.Parent = ScreenGui

local BgParticles = {}
local function RebuildParticles()
    for _, p in ipairs(BgParticles) do if p.frame then p.frame:Destroy() end end
    BgParticles = {}
    for i = 1, Settings.ParticleCount do
        local p = Instance.new("Frame")
        local sz = math.random(2, 6)
        p.Size = UDim2.new(0, sz, 0, sz)
        p.Position = UDim2.new(math.random(), 0, math.random(), 0)
        if Settings.ParticleColor == "Rainbow" then
            p.BackgroundColor3 = Color3.fromHSV(math.random(), 0.7, 1)
        elseif Settings.ParticleColor == "Purple" then
            p.BackgroundColor3 = Color3.fromHSV(0.75 + math.random() * 0.1, 0.8, 1)
        elseif Settings.ParticleColor == "Custom" then
            p.BackgroundColor3 = C3(Settings.AccentColor)
        end
        p.BorderSizePixel = 0
        p.BackgroundTransparency = 0.3
        p.ZIndex = 2
        p.Parent = ParticleOverlay
        Instance.new("UICorner", p).CornerRadius = UDim.new(1, 0)
        local st = Instance.new("UIStroke", p)
        st.Color = p.BackgroundColor3
        st.Thickness = 1.5
        st.Transparency = 0.4
        table.insert(BgParticles, {frame = p, vx = (math.random() - 0.5) * 0.08, vy = (math.random() - 0.5) * 0.08, hue = math.random(), stroke = st})
    end
end
RebuildParticles()

-- ========== TOGGLE BUTTON ==========
local ToggleButton = Instance.new("TextButton")
ToggleButton.Size = UDim2.new(0, 55, 0, 55)
ToggleButton.Position = UDim2.new(0, 18, 0.5, -27)
ToggleButton.BackgroundColor3 = Color3.fromRGB(20, 10, 40)
ToggleButton.Text = "⚡"
ToggleButton.TextColor3 = Color3.fromRGB(255, 220, 80)
ToggleButton.TextSize = 28
ToggleButton.Font = Enum.Font.GothamBold
ToggleButton.BorderSizePixel = 0
ToggleButton.ZIndex = 500
ToggleButton.Parent = ScreenGui
Instance.new("UICorner", ToggleButton).CornerRadius = UDim.new(1, 0)
local ToggleStroke = Instance.new("UIStroke", ToggleButton)
ToggleStroke.Color = Color3.fromRGB(180, 100, 255)
ToggleStroke.Thickness = 3
local TGrad = Instance.new("UIGradient", ToggleButton)
TGrad.Color = ColorSequence.new{
    ColorSequenceKeypoint.new(0, Color3.fromRGB(60, 20, 120)),
